event_name,event_time,event_mag,net,sta,comp,slat,slon,sevla,dist,snr,polarity,sharpness,ray_azimuth,take_off_angle,P_time,S_time
sparta0.7483,2020-08-10T06:05:09,1.97,N4,U56A,HHZ,36.3472,-80.3829,363.0,66.02367,10.266497595686335,U,E,102.379486,,2020-08-10T06:05:20.401834Z,2020-08-10T06:05:28.112904Z
sparta0.7483,2020-08-10T06:05:09,1.97,N4,V55A,HHZ,35.8518,-81.2149,313.0,70.11276,9.784129556849544,U,E,188.41571,,2020-08-10T06:05:21.096164Z,2020-08-10T06:05:29.282915Z
sparta0.7483,2020-08-10T06:05:09,1.97,US,BLA,BHZ,37.2113,-80.42049,634.0,101.633606,7.1452243378837546,D,E,36.486923,62.88220256282551,2020-08-10T06:05:26.532546Z,2020-08-10T06:05:38.389817Z
sparta0.858,2020-08-10T08:43:06,2.15,ET,GFM,HHZ,36.111,-81.807,1726.0,78.58038,10.177657848227321,D,E,237.22842,62.82149560011186,2020-08-10T08:43:19.548618Z,2020-08-10T08:43:28.711555Z
sparta0.858,2020-08-10T08:43:06,2.15,N4,U54A,HHZ,36.5209,-81.8204,837.0,66.99355,12.324014970014963,D,E,272.53094,,2020-08-10T08:43:17.551138Z,2020-08-10T08:43:25.363178Z
sparta0.858,2020-08-10T08:43:06,2.15,N4,U56A,HHZ,36.3472,-80.3829,363.0,64.08349,10.549706375320271,U,E,104.78586,,2020-08-10T08:43:17.049366Z,2020-08-10T08:43:24.522060Z
sparta0.858,2020-08-10T08:43:06,2.15,N4,V55A,HHZ,35.8518,-81.2149,313.0,72.67311,10.808484110766274,U,E,190.14803,,2020-08-10T08:43:18.530039Z,2020-08-10T08:43:27.004110Z
sparta0.858,2020-08-10T08:43:06,2.15,US,BLA,BHZ,37.2113,-80.42049,634.0,98.38205,6.768699643179156,U,E,36.078274,89.8965008973358,2020-08-10T08:43:22.963028Z,2020-08-10T08:43:34.435135Z
sparta1.3931,2020-08-10T21:33:38,1.89,ET,GFM,HHZ,36.111,-81.807,1726.0,74.260895,10.128026869862643,D,E,238.6781,,2020-08-10T21:33:50.807472Z,2020-08-10T21:33:59.469185Z
sparta1.3931,2020-08-10T21:33:38,1.89,N4,U54A,HHZ,36.5209,-81.8204,837.0,64.67496,6.8416908685843305,D,E,276.11432,,2020-08-10T21:33:49.155937Z,2020-08-10T21:33:56.700720Z
